Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Azerbaijan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.5,2.48,-4.29,2.959,2.349,1.715,1.726,1.738,2020
The Bahamas,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.767,0.703,-14.515,2,7.996,3.997,3.448,1.798,2019
Bahrain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.72,2.559,-5.088,2.441,3.097,3.091,3.074,3.09,2020
Bangladesh,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.864,8.153,3.509,4.599,6.544,7.2,7.2,7.2,2020
Barbados,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.583,-1.287,-18,3.3,8.5,4.8,2.8,1.84,2019
Belarus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.138,1.446,-0.949,2.071,0.512,1.033,1.18,1.281,2020
Belgium,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.788,1.785,-6.284,5.636,3.107,1.775,1.372,1.297,2020
Belize,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.909,1.761,-14.038,8.5,5.4,2.8,2,2,2020
Benin,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.697,6.866,3.849,5.511,6.531,6.48,6.485,6.481,2019
Bhutan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.835,4.279,-0.817,-1.916,4.198,5.686,7.578,5.753,2020
Bolivia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.224,2.217,-8.829,4.95,4,3.7,3.6,3.5,2020
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.74,2.831,-4.327,2.8,3.25,3,3,3,2020
Botswana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.981,2.993,-8.493,9.162,4.68,4.432,3.967,3.962,2020
Brazil,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.784,1.411,-4.059,5.229,1.522,2.014,2.102,2.117,2020
Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.052,3.869,1.113,1.974,2.578,2.388,2.178,2.066,2020
Bulgaria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.092,3.694,-4.154,4.54,4.4,4,3.62,3.14,2020
Burkina Faso,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.731,5.699,1.93,6.667,5.613,5.334,5.292,5.276,2020
Burundi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.61,1.842,-1.04,1.634,4.191,4.665,4.943,5.209,2019
Cabo Verde,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.531,5.668,-14.783,3.995,6.504,6.096,6.101,6.201,2019
Cambodia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.469,7.054,-3.141,1.932,5.662,6.421,6.516,6.497,2020
Cameroon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.062,3.721,-1.541,3.625,4.559,4.902,5.261,5.397,2020
Canada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.43,1.861,-5.313,5.688,4.889,2.634,1.543,1.426,2020
Central African Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.82,2.97,0.97,-0.998,4.031,4.978,4.987,4.962,2017
Chad,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.303,2.96,-0.821,0.939,2.371,2.54,4.382,4.41,2017
Chile,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.718,1.015,-5.845,10.999,2.471,1.878,1.99,2.273,2020
China,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.751,5.951,2.342,8.015,5.602,5.277,5.247,5.113,2020
Colombia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.564,3.281,-6.796,7.608,3.834,3.256,3.41,3.445,2020
Comoros,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.639,1.756,-0.504,1.6,3.83,3.682,3.863,4.3,2019
Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.816,4.39,1.735,4.862,5.594,6.613,6.807,6.689,2020
Republic of Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.846,-0.431,-8.169,-0.164,2.303,2.976,6.792,1.81,2018
Costa Rica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.616,2.256,-4.064,3.9,3.499,3.1,3.1,3.2,2020
CÙte d'Ivoire,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.89,6.232,1.995,5.956,6.47,6.425,6.296,6.097,2017
Croatia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.808,2.858,-8.029,6.3,5.8,4,3.3,3.2,2020
Cyprus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.24,3.076,-5.104,4.766,3.552,3.205,2.778,2.675,2020
Czech Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.199,3.029,-5.794,3.787,4.489,4.127,3.568,3.16,2019
Denmark,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.991,2.114,-2.061,3.8,3,1.9,1.8,1.8,2020
Djibouti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.495,7.5,1,5,5.5,6,6,6,2018
Dominica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.548,7.488,-10.983,3.365,7.899,5.873,4.786,4.244,2018
Dominican Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.983,5.052,-6.72,9.521,5.502,5.027,4.986,4.974,2020
Ecuador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.289,0.012,-7.75,2.796,3.506,2.526,2.595,2.752,2020
Egypt,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.314,5.558,3.57,3.333,5.218,5.627,5.724,5.769,2020
El Salvador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.412,2.635,-7.944,9.025,3.54,2.34,2.245,2.045,2020
Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.237,-5.979,-4.893,4.146,-5.626,-1.502,-1.027,-2.812,2020
Eritrea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.032,3.836,-0.627,2.911,4.827,3.793,3.838,3.869,2018
Estonia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.134,4.096,-2.951,8.5,4.2,3.7,3.4,3.2,2020
Eswatini,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.372,2.244,-2.419,1.529,1.669,1.761,1.961,2.122,2019
Ethiopia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.703,9.037,6.057,1.989,n/a,n/a,n/a,n/a,2020
Fiji,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.813,-0.445,-15.725,-3.997,6.195,8.259,6.427,4.49,2020
Finland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.142,1.343,-2.875,2.973,2.963,1.548,1.291,1.282,2020
France,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.841,1.838,-7.988,6.293,3.931,1.823,1.492,1.394,2020
Gabon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.843,3.915,-1.838,1.481,3.905,3.195,3.383,3.422,2019
The Gambia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.235,6.222,-0.202,4.86,6,6.5,6.5,5.816,2020
Georgia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.843,4.982,-6.16,7.69,5.764,5.494,5.249,5.201,2020
Germany,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.086,1.05,-4.56,3.051,4.56,1.59,1.37,1.15,2020
Ghana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.2,6.508,0.414,4.712,6.172,4.653,4.981,5.811,2019
Greece,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.559,1.857,-8.248,6.494,4.607,2.634,1.777,1.518,2020
Grenada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.361,0.677,-13.058,2.679,6.169,5.771,4.632,3.055,2019
Guatemala,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.322,3.867,-1.519,5.5,4.501,3.75,3.5,3.5,2020
Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.358,5.646,7.087,5.173,6.289,5.886,5.559,5.157,2018
Guinea-Bissau,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.358,4.5,-1.4,3.3,4,5,5,5,2017
Guyana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.441,5.353,43.48,20.409,48.709,32.081,3.574,3.747,2020
Haiti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.668,-1.685,-3.343,-0.7,1.3,1.3,1.3,1.4,2020
Honduras,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.845,2.653,-8.965,4.9,4.35,3.54,3.64,3.74,2019
Hong Kong SAR,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.846,-1.68,-6.081,6.435,3.518,3.133,2.867,2.779,2020
Hungary,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.4,4.641,-4.957,7.6,5.1,3.8,3.2,2.6,2020
Iceland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.892,2.435,-6.504,3.696,4.07,3.667,2.557,2.361,2020
India,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.533,4.042,-7.252,9.497,8.523,6.569,6.289,6.185,2021
Indonesia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.174,5.018,-2.07,3.199,5.94,6.355,5.575,5.302,2020
Islamic Republic of Iran,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.026,-6.784,3.388,2.462,1.995,1.996,1.999,1.994,2021
Iraq,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.703,5.811,-15.701,3.647,10.504,5.704,3.368,3.089,2020
Ireland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.03,4.917,5.867,13.036,3.538,3.933,2.903,2.893,2020
Israel,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.983,3.774,-2.153,7.06,4.071,3.567,3.251,3.186,2020
Italy,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.942,0.287,-8.871,5.77,4.233,1.617,1.019,1.001,2020
Jamaica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.827,0.97,-10.049,4.576,2.686,2.404,2.054,1.806,2020
Japan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.559,0.015,-4.586,2.358,3.199,1.369,0.826,0.569,2020
Jordan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.934,1.955,-1.551,2.039,2.7,3.1,3.3,3.3,2019
Kazakhstan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.1,4.5,-2.6,3.287,3.859,5.817,4.148,3.072,2020
Kenya,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.629,4.981,-0.316,5.599,6.045,5.713,5.486,5.518,2020
Kiribati,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.776,3.926,-0.476,1.79,2.498,2.321,2.05,1.954,2019
Korea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.907,2.244,-0.852,4.278,3.295,2.82,2.569,2.474,2020
Kosovo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.813,4.939,-5.3,6,4.5,4.2,4,3.65,2020
Kuwait,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.434,-0.552,-8.855,0.948,4.327,2.657,2.663,2.668,2020
Kyrgyz Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.459,4.601,-8.617,2.098,5.633,4.558,4.084,4.08,2020
Lao P.D.R.,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.289,4.652,-0.435,2.061,4.233,4.542,5.727,6.041,2020
Latvia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.024,2.027,-3.624,4.54,5.2,4,3.243,3.156,2020
Lebanon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.66,-7.284,-25,n/a,n/a,n/a,n/a,n/a,2019
Lesotho,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.015,-1.544,-5.395,2.811,1.621,1.6,1.84,0.26,2019
Liberia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.242,-2.516,-2.967,3.561,4.724,4.853,5.733,5.572,2016
Libya,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",17.879,13.188,-59.719,123.173,5.252,5.526,1.143,4.819,2014
Lithuania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.937,4.339,-0.872,4.663,4.072,3.112,2.794,2.634,2020
Luxembourg,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.111,2.298,-1.314,5.513,3.845,3.014,2.7,2.5,2020
Macao SAR,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.466,-2.629,-56.308,20.435,37.603,26.047,14.227,3.384,2020
Madagascar,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.194,4.411,-6.118,2.913,4.755,5.106,5.034,4.961,2018
Malawi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.392,5.448,0.913,2.2,3,4.5,5,6,2019
Malaysia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.843,4.439,-5.647,3.5,6,5.7,5.3,5,2020
Maldives,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.129,6.986,-31.982,18.868,13.206,12.055,6.103,5.429,2020
Mali,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.746,4.765,-1.591,4.025,5.34,5,5,5,2018
Malta,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.143,5.735,-8.291,5.711,6.004,4.943,4.452,3.695,2020
Marshall Islands,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.052,6.845,-2.448,-1.5,3.5,2.5,2,1.8,2020
Mauritania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.527,5.798,-1.763,2.729,4.98,8.619,5.317,3.96,2018
Mauritius,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.76,3.015,-14.9,5,6.7,4,3.5,3.3,2020
Mexico,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.195,-0.177,-8.309,6.247,4.001,2.204,1.999,1.998,2020
Micronesia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.212,1.2,-1.818,-3.247,0.587,3.244,1.91,0.8,2018
Moldova,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.3,3.7,-6.969,4.5,5.172,5.501,5.783,5.39,2019
Mongolia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.247,5.159,-5.336,5.2,7.5,6.5,6,5.5,2020
Montenegro,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.078,4.063,-15.2,7,5.6,3.6,3.2,2.9,2020
Morocco,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.149,2.608,-6.293,5.732,3.129,3.65,3.531,3.538,2020
Mozambique,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.444,2.315,-1.234,2.458,5.298,12.623,3.541,3.549,2019
Myanmar,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.405,6.75,3.189,-17.938,-0.059,2.492,2.526,2.416,2020
Namibia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.108,-0.606,-7.984,1.326,3.563,3.087,2.517,2.524,2020
Nauru,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.703,0.959,0.706,1.55,0.898,0.779,0.552,0.549,2019
Nepal,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.622,6.657,-2.088,1.803,4.403,6.321,5.428,5.099,2020
Netherlands,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.361,1.955,-3.825,3.767,3.16,2.066,1.79,1.619,2020
New Zealand,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.417,2.421,-2.053,5.058,3.328,1.652,1.897,2.23,2020
Nicaragua,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.363,-3.674,-1.977,5,3.5,2.2,2.4,2.6,2020
Niger,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.204,5.907,3.62,5.36,6.583,10.415,11.436,8.568,2020
Nigeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.923,2.208,-1.794,2.64,2.665,2.65,2.561,2.637,2020
North Macedonia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.881,3.174,-4.532,4,4.2,3.8,3.7,3.6,2020
Norway,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.119,0.852,-0.766,3.026,4.068,2.914,1.775,1.356,2020
Oman,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.919,-0.825,-2.835,2.483,2.928,4.181,2.888,3.335,2020
Pakistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.534,2.077,-0.467,3.943,3.955,4.511,5.012,5.047,2020
Palau,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.196,-0.662,-8.681,-19.662,14.935,14.817,3.552,2.658,2020
Panama,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.598,3.04,-17.949,11.951,5,5,5,5,2020
Papua New Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.279,5.86,-3.905,1.215,4.015,3.367,2.803,2.886,2019
Paraguay,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.204,-0.402,-0.566,4.5,3.8,4,3.5,3.5,2019
Peru,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.977,2.15,-11.004,10.038,4.562,4.513,3.254,3.201,2020
Philippines,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.341,6.119,-9.573,3.223,6.302,6.958,6.739,6.455,2020
Poland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.354,4.745,-2.72,5.115,5.086,3.476,3.014,2.96,2020
Portugal,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.849,2.683,-8.442,4.442,5.1,2.5,2.2,2,2020
Puerto Rico,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.152,1.486,-3.904,-0.6,-0.3,-0.3,-0.3,-0.3,2020
Qatar,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.235,0.775,-3.588,1.947,3.959,2.631,3.906,4.092,2020
Romania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.475,4.127,-3.859,7,4.83,3.83,3.78,3.56,2020
Russia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.807,2.033,-2.951,4.69,2.947,2,1.8,1.7,2020
Rwanda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.578,9.469,-3.357,5.104,7.002,8.071,7.536,7.486,2019
Samoa,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.063,3.58,-2.742,-7.226,1.048,4.059,3.69,3.322,2020
San Marino,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.532,2.374,-6.544,5.511,3.714,1.469,1.3,1.3,2019
S„o TomÈ and PrÌncipe,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.028,2.211,3.003,2.131,2.907,3.261,3.531,3.737,2020
Saudi Arabia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.434,0.331,-4.107,2.836,4.829,2.778,2.812,2.764,2020
Senegal,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.209,4.402,1.5,4.747,5.504,10.787,6.154,5.388,2019
Serbia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.495,4.249,-0.98,6.54,4.5,4.5,4,4.047,2020
Seychelles,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.328,1.915,-12.866,6.896,7.689,6.766,4.979,5.01,2020
Sierra Leone,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.465,5.508,-2.175,3.194,5.884,4.359,4.887,4.814,2018
Singapore,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.497,1.345,-5.391,6.029,3.22,2.73,2.643,2.487,2020
Slovak Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.65,2.512,-4.754,4.432,5.192,4.328,3.405,3.094,2019
Slovenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.422,3.251,-4.23,6.321,4.559,3.716,3.058,2.9,2020
Solomon Islands,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.943,1.204,-4.32,1.229,4.395,4.498,3.333,2.955,2019
Somalia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.8,2.9,-0.7,1.6,3.861,3.6,3.9,4.1,2019
South Africa,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.488,0.113,-6.432,5,2.155,1.4,1.3,1.3,2020
South Sudan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.931,0.87,-6.589,5.325,6.473,5.575,4.623,4.561,2018
